,statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red
seq2175_[chr1:3121393-3121563],8.410938209,0.209515673,0.362968711,6,99,18,12
seq2176_[chr1:3164079-3164249],13.95068976,0.030191863,0.082663025,6,99,18,12
seq2177_[chr1:3166334-3166504],23.61070663,0.000615735,0.00297159,6,74,18,12
seq2178_[chr1:3591357-3591527],15.06338881,0.019769381,0.057810792,6,99,18,12
seq2179_[chr1:3600736-3600906],42.40236893,1.53E-07,1.52E-06,6,99,18,12
seq218_[chr10:98744574-98744744],19.79068536,0.003017187,0.01175115,6,79,18,12
seq2180_[chr1:3612385-3612555],41.06929779,2.81E-07,2.68E-06,6,98,18,12
seq2181_[chr1:3624011-3624181],75.80307981,2.62E-14,5.63E-13,6,97,18,12
seq2182_[chr1:6320050-6320220],15.95200505,0.014013907,0.043366466,6,97,18,12
seq2184_[chr1:6474555-6474725],2.541170853,0.863831835,0.91646675,6,90,18,12
seq2185_[chr1:7962799-7962969],6.081200857,0.414155709,0.578522484,6,96,18,12
seq2186_[chr1:8002531-8002701],3.686375202,0.719030537,0.818238936,6,99,18,12
seq2187_[chr1:8086379-8086549],4.68801579,0.584403443,0.720908934,6,95,18,12
seq2188_[chr1:8215731-8215901],28.49059479,7.59E-05,0.000459763,6,99,18,12
seq2189_[chr1:8227296-8227466],2.54276092,0.863651677,0.91646675,6,81,18,12
seq219_[chr10:100206540-100206710],118.253052,3.79E-23,1.63E-21,6,99,18,12
seq2190_[chr1:9258750-9258920],74.20653244,5.59E-14,1.15E-12,6,99,18,12
seq2191_[chr1:9294587-9294757],60.47817105,3.60E-11,5.51E-10,6,98,18,12
seq2192_[chr1:12139652-12139822],29.31407746,5.31E-05,0.000333315,6,99,18,12
seq2193_[chr1:12156134-12156304],6.189291464,0.40232324,0.567684911,6,85,18,12
seq2194_[chr1:18621260-18621430],18.81089832,0.004495207,0.016540374,6,99,18,12
seq2195_[chr1:18624880-18625050],32.99024762,1.05E-05,7.71E-05,6,99,18,12
seq2196_[chr1:18700531-18700701],4.274976432,0.639519012,0.766042557,6,99,18,12
seq2197_[chr1:18712065-18712235],43.73840666,8.33E-08,8.47E-07,6,99,18,12
seq2198_[chr1:18745659-18745829],25.84023673,0.000238427,0.00128317,6,78,18,12
seq2199_[chr1:18773300-18773470],20.76382749,0.002022704,0.008406369,6,99,18,12
seq22_[chr1:15533425-15533595],15.3824803,0.017481633,0.052034716,6,99,18,12
seq220_[chr10:100216089-100216259],8.920641733,0.178090561,0.322240058,6,99,18,12
seq2200_[chr1:18779141-18779311],10.3996463,0.108799841,0.228043098,6,81,18,12
seq2201_[chr1:18807299-18807469],51.95656231,1.90E-09,2.35E-08,6,99,18,12
seq2202_[chr1:18869031-18869201],9.688890493,0.138379784,0.268176397,6,79,18,12
seq2203_[chr1:18874030-18874200],9.919166598,0.128097624,0.253719011,6,81,18,12
seq2204_[chr1:33833483-33833653],15.95162881,0.014015964,0.043366466,6,98,18,12
seq2205_[chr1:40420632-40420802],23.93428816,0.000536994,0.002620057,6,99,18,12
seq2206_[chr1:40442529-40442699],23.46784892,0.000654012,0.003127987,6,82,18,12
seq2207_[chr1:40445441-40445611],5.138965219,0.52611749,0.674483634,6,82,18,12
seq2208_[chr1:53754470-53754640],17.14574977,0.008762257,0.029214834,6,96,18,12
seq2209_[chr1:55353017-55353187],16.92537287,0.009561459,0.0314078,6,98,18,12
seq221_[chr10:100995879-100996049],7.833921412,0.25052495,0.40969826,6,83,18,12
seq2210_[chr1:55487784-55487954],11.40421292,0.076658759,0.173803347,6,99,18,12
seq2211_[chr1:55505099-55505269],6.604056613,0.359019287,0.526087668,6,99,18,12
seq2212_[chr1:59249676-59249846],118.068009,4.15E-23,1.75E-21,6,99,18,12
seq2213_[chr1:59280581-59280751],13.27376601,0.038888751,0.101369503,6,98,18,12
seq2214_[chr1:59281982-59282152],4.439021182,0.617486882,0.748060507,6,98,18,12
seq2215_[chr1:59340517-59340687],7.424527279,0.28336355,0.44274516,6,92,18,12
seq2216_[chr1:59369340-59369510],4.18845885,0.651189712,0.774706395,6,39,18,12
seq2217_[chr1:65532863-65533033],9.013896111,0.17279807,0.317471765,6,97,18,12
seq2218_[chr1:91000416-91000586],3.89441345,0.690962639,0.801292558,6,84,18,12
seq2219_[chr1:101298379-101298549],13.02104451,0.042702973,0.108360458,6,70,18,12
seq222_[chr10:102505215-102505385],8.891614226,0.179765995,0.324675668,6,97,18,12
seq2220_[chr1:155804391-155804561],13.76972491,0.03231695,0.087581236,6,85,18,12
seq2221_[chr1:193710428-193710598],3.643192381,0.7248313,0.822731394,6,86,18,12
seq2222_[chr1:212731745-212731915],21.42696833,0.001537053,0.006636483,6,99,18,12
seq2223_[chr1:212732261-212732431],96.47715245,1.36E-18,4.12E-17,6,96,18,12
seq2224_[chr1:212781662-212781832],6.55779125,0.363682443,0.529137099,6,98,18,12
seq2225_[chr1:212803562-212803732],6.561091138,0.363348441,0.528940026,6,95,18,12
seq2226_[chr1:229570001-229570171],14.63193795,0.023320926,0.067236954,6,99,18,12
seq2228_[chr10:34716436-34716606],54.36985553,6.21E-10,8.19E-09,6,89,18,12
seq2229_[chr10:74008393-74008563],6.634482313,0.355975708,0.5228074,6,82,18,12
seq223_[chr10:103662362-103662532],3.978182201,0.679629105,0.794050908,6,60,18,12
seq2230_[chr10:74008683-74008853],15.78502257,0.01495555,0.045742347,6,99,18,12
seq2231_[chr10:74014932-74015102],31.53104167,2.01E-05,0.000137421,6,99,18,12
seq2232_[chr10:74020532-74020702],52.29347546,1.63E-09,2.02E-08,6,99,18,12
seq2233_[chr10:74032638-74032808],620.9730142,6.97E-131,4.64E-128,6,99,18,12
seq2234_[chr10:74033439-74033609],20.05669644,0.00270577,0.01074243,6,99,18,12
seq2235_[chr10:74057828-74057998],38.05690641,1.09E-06,9.50E-06,6,98,18,12
seq2236_[chr10:74114347-74114517],6.519525044,0.36757129,0.533338734,6,69,18,12
seq2237_[chr10:102245397-102245567],8.290641108,0.217574088,0.37329279,6,68,18,12
seq2238_[chr10:126745822-126745992],10.13286779,0.119167035,0.242336627,6,76,18,12
seq2239_[chr11:22647379-22647549],13.67431279,0.03349358,0.090265519,6,87,18,12
seq224_[chr10:104387582-104387752],536.5323908,1.13E-112,4.30E-110,6,98,18,12
seq2240_[chr11:34713835-34714005],33.39239091,8.81E-06,6.58E-05,6,99,18,12
seq2241_[chr11:36724245-36724415],9.164340836,0.164544427,0.305443258,6,86,18,12
seq2242_[chr11:46615443-46615613],16.78188822,0.010119164,0.033036093,6,98,18,12
seq2243_[chr11:101299757-101299927],4.259688828,0.641579131,0.767794682,6,93,18,12
seq2244_[chr11:113906949-113907119],18.78577238,0.004541152,0.016663399,6,99,18,12
seq2245_[chr11:117068696-117068866],8.404536075,0.209938192,0.363021449,6,99,18,12
seq2246_[chr11:117069880-117070050],54.92514237,4.80E-10,6.39E-09,6,98,18,12
seq2247_[chr12:739907-740077],31.59721093,1.95E-05,0.000134859,6,99,18,12
seq2248_[chr12:741399-741569],8.231199658,0.221649697,0.377260397,6,80,18,12
seq2249_[chr12:57914375-57914545],268.1961033,5.28E-55,8.27E-53,6,99,18,12
seq225_[chr10:104389474-104389644],3.157803431,0.788796197,0.870858267,6,96,18,12
seq2250_[chr12:112251020-112251190],13.08904682,0.041643469,0.106568879,6,98,18,12
seq2252_[chr13:36729088-36729258],12.83739863,0.045691978,0.114646113,6,98,18,12
seq2253_[chr13:38444314-38444484],6.015765436,0.421426345,0.58381684,6,93,18,12
seq2254_[chr13:38488965-38489135],2.742186034,0.840439457,0.902067169,6,70,18,12
seq2255_[chr13:68217710-68217880],8.019292776,0.236693273,0.3940943,6,92,18,12
seq2256_[chr13:78096172-78096342],4.480758392,0.611907375,0.744007872,6,93,18,12
seq2257_[chr13:107675888-107676058],5.098333302,0.531264506,0.679121231,6,84,18,12
seq2258_[chr14:22647993-22648163],4.348029107,0.629689492,0.756918696,6,60,18,12
seq2259_[chr14:74111557-74111727],60.52403451,3.52E-11,5.44E-10,6,96,18,12
seq226_[chr10:104964766-104964936],32.14700439,1.53E-05,0.000108059,6,90,18,12
seq2261_[chr16:740288-740458],116.0465343,1.10E-22,4.51E-21,6,99,18,12
seq2262_[chr17:1953660-1953830],7.127287451,0.309236069,0.471554029,6,95,18,12
seq2263_[chr17:13542498-13542668],12.17639535,0.058147367,0.139177525,6,79,18,12
seq2264_[chr17:36729216-36729386],37.68258421,1.30E-06,1.12E-05,6,99,18,12
seq2265_[chr17:55483949-55484119],15.67343015,0.015618378,0.047496984,6,86,18,12
seq2266_[chr17:74117555-74117725],6.488851917,0.370709323,0.535848962,6,96,18,12
seq2267_[chr17:78098217-78098387],7.406456219,0.284887217,0.444343997,6,96,18,12
seq2269_[chr18:74110957-74111127],25.63154463,0.000260718,0.001397489,6,99,18,12
seq227_[chr10:106088329-106088499],6.914316753,0.32884393,0.492204259,6,88,18,12
seq2271_[chr2:113914892-113915062],1.94040931,0.925096698,0.953368512,6,24,18,12
seq2272_[chr2:211627649-211627819],16.98102669,0.009353228,0.030799751,6,98,18,12
seq2274_[chr2:243153724-243153894],5.145830691,0.52525008,0.674020334,6,99,18,12
seq2275_[chr20:34715157-34715327],11.21771549,0.081876269,0.182870446,6,90,18,12
seq2276_[chr21:19273231-19273401],22.78360901,0.000872289,0.004013433,6,99,18,12
seq2277_[chr22:26462688-26462858],3.892620847,0.691205067,0.801292558,6,79,18,12
seq2278_[chr22:36725373-36725543],5.220275128,0.515887582,0.665007053,6,99,18,12
seq2279_[chr22:36727609-36727779],542.4006716,6.14E-114,3.27E-111,6,99,18,12
seq228_[chr10:112247200-112247370],36.09453146,2.64E-06,2.22E-05,6,99,18,12
seq2280_[chr22:39906967-39907137],8.077688674,0.232466726,0.389180929,6,78,18,12
seq2281_[chr4:18693143-18693313],7.117525972,0.310115169,0.472097203,6,89,18,12
seq2282_[chr4:113566981-113567151],3.414328064,0.755330878,0.846173868,6,80,18,12
seq2283_[chr4:129574999-129575169],0.81490948,0.99166793,0.993532669,6,80,18,12
seq2284_[chr5:12323864-12324034],8.841173582,0.182709359,0.328654782,6,81,18,12
seq2285_[chr5:36725224-36725394],12.69368383,0.048166535,0.119474533,6,87,18,12
seq2286_[chr5:68218211-68218381],64.31416015,5.95E-12,1.04E-10,6,77,18,12
seq2287_[chr5:74112864-74113034],28.55624274,7.38E-05,0.000448867,6,73,18,12
seq2288_[chr6:36727051-36727221],0.907296294,0.988883666,0.992235814,6,98,18,12
seq2289_[chr6:46620570-46620740],9.51475963,0.146630437,0.280620319,6,99,18,12
seq229_[chr10:112896852-112897022],7.084955119,0.313062053,0.47494152,6,80,18,12
seq2290_[chr6:90062504-90062674],21.30347388,0.001617886,0.006929339,6,99,18,12
seq2291_[chr6:113908526-113908696],5.419553211,0.491232617,0.644017565,6,82,18,12
seq2292_[chr6:149335841-149336011],6.877990122,0.33227823,0.496460575,6,84,18,12
seq2293_[chr7:36698892-36699062],10.97367085,0.089193583,0.194604181,6,87,18,12
seq2294_[chr7:69110785-69110955],3.550089443,0.737294029,0.832620302,6,82,18,12
seq2295_[chr7:99542324-99542494],3.714205679,0.715286308,0.816751967,6,81,18,12
seq2296_[chr7:113035077-113035247],15.65762731,0.01571449,0.047626168,6,85,18,12
seq2297_[chr7:148032155-148032325],13.92981231,0.030430102,0.083144402,6,85,18,12
seq2298_[chr8:1606365-1606535],56.89372182,1.92E-10,2.62E-09,6,80,18,12
seq2299_[chr8:89604454-89604624],14.55144463,0.024047567,0.068810652,6,81,18,12
seq23_[chr1:15835444-15835614],27.6180033,0.000110873,0.000657828,6,68,18,12
seq230_[chr10:115069503-115069673],7.450832257,0.281156961,0.440615688,6,92,18,12
seq2300_[chr8:133412943-133413113],14.99370974,0.020305696,0.059314005,6,89,18,12
seq2301_[chr9:16810298-16810468],11.0090218,0.088098003,0.193017342,6,74,18,12
seq2302_[chr9:36726139-36726309],7.85224131,0.249129632,0.409356257,6,87,18,12
seq2303_[chr9:84236932-84237102],7.237817785,0.299412939,0.460263167,6,95,18,12
seq2304_[chr9:90060680-90060850],19.14364432,0.003927794,0.014821025,6,90,18,12
seq2305_[chr9:117068145-117068315],14.20767903,0.02740038,0.076594557,6,99,18,12
seq2306_[chrUn_gl000220:117832-118002],16.53591784,0.011149007,0.036001156,6,91,18,12
seq2307_[chrUn_gl000220:119815-119985],8.005369104,0.237710215,0.395293392,6,95,18,12
seq2308_[chrUn_gl000220:133994-134164],5.042508939,0.538372715,0.684267611,6,99,18,12
seq2309_[chrX:46618344-46618514],7.815289982,0.251950425,0.411119443,6,42,18,12
seq231_[chr10:123339836-123340006],8.583237808,0.198408385,0.348884448,6,99,18,12
seq2310_[chrX:46618662-46618832],19.04709343,0.004084834,0.015334068,6,62,18,12
seq232_[chr10:124635616-124635786],4.631270556,0.591896879,0.725305099,6,91,18,12
seq233_[chr10:124913574-124913744],24.42939294,0.0004353,0.002196288,6,99,18,12
seq234_[chr10:124914350-124914520],17.7031414,0.007018504,0.024219294,6,99,18,12
seq235_[chr10:125651348-125651518],26.48110836,0.000181076,0.001007069,6,99,18,12
seq236_[chr10:126158599-126158769],33.620642,7.96E-06,6.01E-05,6,99,18,12
seq237_[chr10:127569964-127570134],6.018993686,0.421065763,0.58381684,6,75,18,12
seq238_[chr10:127837022-127837192],11.39227077,0.076983503,0.174391201,6,80,18,12
seq239_[chr10:127837449-127837619],10.91060942,0.091178758,0.197962683,6,99,18,12
seq24_[chr1:16339396-16339566],45.72084434,3.36E-08,3.61E-07,6,98,18,12
seq240_[chr10:127842787-127842957],3.472572588,0.747615147,0.83977508,6,87,18,12
seq241_[chr10:127866272-127866442],9.309106228,0.156925862,0.29502505,6,79,18,12
seq242_[chr11:639032-639202],15.63538415,0.015850734,0.047984495,6,99,18,12
seq243_[chr11:830220-830390],15.86103393,0.014519612,0.044613894,6,98,18,12
seq244_[chr11:2891031-2891201],18.82402852,0.004471377,0.01648089,6,99,18,12
seq245_[chr11:6341077-6341247],32.36473785,1.39E-05,9.87E-05,6,99,18,12
seq246_[chr11:8284370-8284540],3.582984288,0.732898262,0.83011946,6,98,18,12
seq247_[chr11:8304383-8304553],22.36055719,0.001041522,0.004734839,6,98,18,12
seq248_[chr11:8305149-8305319],10.36237873,0.110197767,0.230248511,6,79,18,12
seq249_[chr11:8350450-8350620],33.34104815,9.01E-06,6.69E-05,6,98,18,12
seq25_[chr1:16442446-16442616],3.58456014,0.732687462,0.83011946,6,98,18,12
seq250_[chr11:8354953-8355123],8.455744399,0.206578416,0.358985583,6,57,18,12
seq251_[chr11:8355121-8355291],10.18902336,0.116914229,0.239584235,6,82,18,12
seq252_[chr11:8355363-8355533],8.092575352,0.231399177,0.388191062,6,99,18,12
seq253_[chr11:8861926-8862096],21.5374618,0.001468092,0.006359344,6,99,18,12
seq254_[chr11:9059062-9059232],5.864181958,0.438575374,0.59885433,6,99,18,12
seq255_[chr11:9528440-9528610],9.787182062,0.133905095,0.262464361,6,81,18,12
seq256_[chr11:10326418-10326588],4.372858332,0.626354882,0.755710782,6,97,18,12
seq258_[chr11:10373615-10373785],35.78627387,3.03E-06,2.53E-05,6,82,18,12
seq259_[chr11:10388180-10388350],8.396219321,0.210488129,0.363644861,6,98,18,12
seq26_[chr1:17760604-17760774],87.61840859,9.46E-17,2.42E-15,6,99,18,12
seq260_[chr11:12114336-12114506],0.722654445,0.993989045,0.995109664,6,93,18,12
seq261_[chr11:12746283-12746453],21.72256553,0.001359296,0.00597552,6,99,18,12
seq262_[chr11:12884786-12884956],3.022039009,0.806075662,0.880346453,6,99,18,12
seq263_[chr11:12886441-12886611],3.119308152,0.79373036,0.873759502,6,94,18,12
seq264_[chr11:16854679-16854849],3.427641221,0.753570502,0.844556928,6,70,18,12
seq265_[chr11:19838756-19838926],12.98006803,0.043353562,0.109162467,6,86,18,12
seq266_[chr11:20178226-20178396],117.5147203,5.42E-23,2.26E-21,6,99,18,12
seq267_[chr11:20179479-20179649],5.501530084,0.481271793,0.634392902,6,42,18,12
seq268_[chr11:20230518-20230688],6.595651181,0.359863337,0.526455756,6,86,18,12
seq269_[chr11:20295649-20295819],4.909384767,0.555486751,0.697314294,6,86,18,12
seq27_[chr1:17764256-17764426],15.59118878,0.016124808,0.048648345,6,53,18,12
seq270_[chr11:25601079-25601249],20.33887306,0.002409737,0.009770988,6,77,18,12
seq271_[chr11:27369572-27369742],10.28161798,0.113282541,0.233222238,6,80,18,12
seq272_[chr11:27465407-27465577],5.302075329,0.505693615,0.656120787,6,79,18,12
seq273_[chr11:27466418-27466588],4.85918108,0.561997115,0.703222317,6,84,18,12
seq274_[chr11:27493632-27493802],8.547315924,0.200682418,0.351029522,6,83,18,12
seq275_[chr11:27494321-27494491],8.069982412,0.233020934,0.389684726,6,98,18,12
seq276_[chr11:27656337-27656507],1.100948537,0.981494453,0.987658924,6,89,18,12
seq278_[chr11:32094890-32095060],5.180141979,0.520925047,0.670084175,6,98,18,12
seq279_[chr11:35547296-35547466],3.744816306,0.711163429,0.815206271,6,99,18,12
seq28_[chr1:17766171-17766341],1.993498358,0.920295585,0.95001776,6,32,18,12
seq280_[chr11:35570588-35570758],9.32794522,0.155957271,0.293820145,6,68,18,12
seq281_[chr11:36476486-36476656],7.368337597,0.288122018,0.447430554,6,97,18,12
seq282_[chr11:44965814-44965984],2.102536863,0.910030745,0.942582389,6,88,18,12
seq283_[chr11:44972393-44972563],2.201655218,0.900249555,0.938288269,6,86,18,12
seq284_[chr11:44984883-44985053],14.07987524,0.028756529,0.079882579,6,99,18,12
seq285_[chr11:44986225-44986395],19.69299924,0.003140109,0.012176491,6,99,18,12
seq286_[chr11:45078126-45078296],12.31183808,0.055362864,0.134200791,6,98,18,12
seq287_[chr11:46033837-46034007],7.44183294,0.281910358,0.441510402,6,78,18,12
seq288_[chr11:46934197-46934367],90.06329529,2.94E-17,7.75E-16,6,95,18,12
seq289_[chr11:47042904-47043074],6.048036501,0.417830586,0.58158037,6,80,18,12
seq29_[chr1:20770820-20770990],4.202008919,0.649360138,0.773310419,6,93,18,12
seq290_[chr11:47367195-47367365],1.672892423,0.947194775,0.966974166,6,83,18,12
seq291_[chr11:57261067-57261237],184.6673608,3.46E-37,2.88E-35,6,97,18,12
seq292_[chr11:61394379-61394549],23.94464511,0.000534644,0.002613381,6,99,18,12
seq293_[chr11:61691073-61691243],19.8516601,0.002942853,0.011512131,6,99,18,12
seq294_[chr11:61717139-61717309],49.36332327,6.31E-09,7.37E-08,6,83,18,12
seq295_[chr11:63792750-63792920],7.387690309,0.286476186,0.446299743,6,99,18,12
seq296_[chr11:64527498-64527668],36.29703496,2.41E-06,2.05E-05,6,99,18,12
seq297_[chr11:67203946-67204116],45.37436378,3.94E-08,4.17E-07,6,98,18,12
seq298_[chr11:67895963-67896133],25.42661995,0.000284602,0.001501344,6,99,18,12
seq299_[chr11:68606762-68606932],280.1238823,1.48E-57,2.62E-55,6,98,18,12
seq3_[chr1:3022153-3022323],136.0933382,6.68E-27,3.87E-25,6,93,18,12
seq300_[chr11:69919523-69919693],6.605133777,0.358911222,0.526087668,6,75,18,12
seq301_[chr11:70493544-70493714],9.587074997,0.143153063,0.27565909,6,72,18,12
seq302_[chr11:71751785-71751955],17.32103418,0.008173061,0.027491206,6,99,18,12
seq303_[chr11:73042455-73042625],5.611788808,0.468049787,0.624691699,6,99,18,12
seq304_[chr11:73357143-73357313],9.942327145,0.127101854,0.252309492,6,99,18,12
seq305_[chr11:73363499-73363669],7.364093624,0.288483918,0.447595316,6,99,18,12
seq306_[chr11:75229939-75230109],10.80091629,0.094727703,0.204170389,6,50,18,12
seq307_[chr11:77184409-77184579],34.35955367,5.73E-06,4.48E-05,6,99,18,12
seq308_[chr11:77185278-77185448],64.95897746,4.40E-12,7.76E-11,6,99,18,12
seq309_[chr11:78640780-78640950],11.64450123,0.070385989,0.160798948,6,70,18,12
seq31_[chr1:20813189-20813359],20.25971557,0.002489429,0.010002774,6,78,18,12
seq310_[chr11:78672340-78672510],11.08202423,0.085874215,0.19032114,6,88,18,12
seq311_[chr11:84254978-84255148],8.262989403,0.219462259,0.375014405,6,81,18,12
seq312_[chr11:85251765-85251935],2.617427133,0.855101163,0.912290547,6,99,18,12
seq313_[chr11:86299961-86300131],18.82321277,0.004472854,0.01648089,6,99,18,12
seq314_[chr11:86389414-86389584],3.042731724,0.803464759,0.879387888,6,95,18,12
seq315_[chr11:86389908-86390078],19.16484143,0.003894112,0.014735674,6,89,18,12
seq316_[chr11:94390247-94390417],5.247894947,0.51243444,0.66171854,6,88,18,12
seq317_[chr11:94964592-94964762],6.548217248,0.364652702,0.529969884,6,73,18,12
seq318_[chr11:95070873-95071043],10.1302707,0.119272154,0.242365383,6,95,18,12
seq319_[chr11:95914163-95914333],19.13232436,0.003945897,0.014868275,6,88,18,12
seq32_[chr1:20951852-20952022],5.117331819,0.52885504,0.677071195,6,88,18,12
seq320_[chr11:99293843-99294013],12.27161199,0.056176635,0.135802682,6,87,18,12
seq321_[chr11:102068532-102068702],58.24172146,1.02E-10,1.45E-09,6,84,18,12
seq322_[chr11:102079639-102079809],20.34808004,0.002400631,0.009748904,6,88,18,12
